ID	CONST	DE 	HD+DLC	AoC	Description
774		Elite Conquistador (Dead)	Elite Conquistador (Dead)	Elite Conquistador (Dead)	
775	MISSIONARY	Missionary	Missionary	Missionary	
776		Missionary (Dead)	Missionary (Dead)	Missionary (Dead)	
777	ATTILA_THE_HUN	Attila the Hun	Attila the Hun	Attila the Hun	
778		Canoe	Canoe	Attila the Hun (Dead)	
779	BLEDA_THE_HUN	Bleda the Hun	Bleda the Hun	Bleda the Hun	
780		Llama (Dead)	Llama (Dead)	Bleda the Hun (Dead)	
781	POPE_LEO_I	Pope Leo I	Pope Leo I	Pope Leo I	Hero Monk Western
782		Pope Leo I (Dead)	Pope Leo I (Dead)	Pope Leo I (Dead)	
783	SCYTHIAN_WILD_WOMAN	Scythian Wild Woman	Scythian Wild Woman	Scythian Wild Woman	
784		Scythian Wild Woman (Dead)	Scythian Wild Woman (Dead)	Scythian Wild Woman (Dead)	
785	SEA_TOWER	Sea Tower	Sea Tower	Sea Tower	constant only defined in DE
786		Projectile Sea Tower	Projectile Sea Tower	Projectile Sea Tower	
787		Projectile Sea Tower (Fire)	Projectile Sea Tower (Fire)	Projectile Sea Tower (Fire)	
788		Sea Wall	Sea Wall	Sea Wall	
789		Palisade Gate (up.)	Palisade Gate	Sea Gate	
790		Palisade Gate	Palisade Gate	Sea Gate	
791		Palisade Gate	Palisade Gate	Sea Gate	
792		Palisade Gate	Palisade Gate	Sea Gate	
793		Palisade Gate (down.)	Palisade Gate	Sea Gate	
794		Palisade Gate	Palisade Gate	Sea Gate	
795		Palisade Gate	Palisade Gate	Sea Gate	
796		Palisade Gate	Palisade Gate	Sea Gate	
797		Palisade Gate (hori.)	Palisade Gate	Sea Gate	
798		Palisade Gate	Palisade Gate	Sea Gate	
799		Palisade Gate	Palisade Gate	Sea Gate	
800		Palisade Gate	Palisade Gate	Sea Gate	
801		Palisade Gate (vert.)	Palisade Gate	Sea Gate	
802		Palisade Gate	Palisade Gate	Sea Gate	
803		Palisade Gate	Palisade Gate	Sea Gate	
804		Palisade Gate	Palisade Gate	Sea Gate	
805		Dock	Dock	Dock	Dark age
806		Dock	Dock	Dock	Feudal age
807		Dock	Dock	Dock	Castle age
808		Dock	Dock	Dock	Imperial age
809	STUMP	Stump	Stump	Stump	
810	IRON_BOAR	Iron Boar	Iron Boar	Iron Boar	
811		Iron Boar (Dead)	Iron Boar (Dead)	Iron Boar (Dead)	
812	JAGUAR	Jaguar	Jaguar	Jaguar	Predator like wolf
813		Jaguar (Dead)	Jaguar (Dead)	Jaguar (Dead)	
814	HORSE	Horse A	Horse	Horse	
815		Horse (Dead)	Horse (Dead)	Horse (Dead)	
816	MACAW	Macaw	Macaw	Macaw	
817	STATUE	Statue A	Statue	Statue	
818	PLANTS, PLANT	Plant	Plant	Plant	
819	SIGN	Sign	Sign	Sign	
820	GRAVE	Grave	Grave	Grave	
821	HEAD	Head	Head	Head	
822	JAVELINA	Javelina	Javelina	Javelina	
823		Javelina (Dead)	Javelina (Dead)	Javelina (Dead)	
824	EL_CID_CAMPEADOR	El Cid Campeador	El Cid Campeador	El Cid Campeador	
825		Amazon Warrior	Amazon Warrior	El Cid Campeador (Dead)	
826	MONUMENT	Monument	Monument	Monument	for King of The Hill
827	WAR_WAGON	War Wagon	War Wagon	War Wagon	
828		War Wagon (Dead)	War Wagon (Dead)	War Wagon (Dead)	
829	ELITE_WAR_WAGON	Elite War Wagon	Elite War Wagon	Elite War Wagon	
830		Elite War Wagon (Dead)	Elite War Wagon (Dead)	Elite War Wagon (Dead)	
831	TURTLE_SHIP	Turtle Ship	Turtle Ship	Turtle Ship	
832	ELITE_TURTLE_SHIP	Elite Turtle Ship	Elite Turtle Ship	Elite Turtle Ship	
833	TURKEY	Turkey	Turkey	Turkey	
834		Turkey (Dead)	Turkey (Dead)	Turkey (Dead)	
835	WILD_HORSE	Wild Horse	Wild Horse	Wild Horse	
836		Wild Horse (Dead)	Wild Horse (Dead)	Wild Horse (Dead)	
837	MAP_REVEALER	Map Revealer	Map Revealer	Map Revealer	
838	KING_SANCHO	King Sancho	King Sancho	King Sancho	
839		Rock (Stone)	Rock (Stone)	King Sancho (Dead)	Rocks (turn into stone when attacked by villagers)
840	KING_ALFONSO	King Alfonso	King Alfonso	King Alfonso	
841		Rock (Gold)	Rock (Gold)	King Alfonso (Dead)	Rocks (turn into gold when attacked by villagers)
842	IMAM	Imam	Imam	Imam	
843		Cow (Dead)	Cow (Dead)	Imam (Dead)	
844	ADMIRAL_YI_SUN_SHIN	Admiral Yi Sun-shin	Admiral Yi Sun-shin	Admiral Yi Sun-shin	Hero turtle ship
845	NOBUNAGA	Nobunaga	Nobunaga	Nobunaga	
846		Donkey	Donkey	Nobunaga (Dead)	can be used like a trade cart
847	HENRY_V	Henry V	Henry V	Henry V	
848		Donkey (Dead)	Donkey (Dead)	Henry V (Dead)	
849	WILLIAM_THE_CONQUEROR	William the Conqueror	William the Conqueror	William the Conqueror	
850		Amazon Archer	Amazon Archer	William the Conqueror (Dead)	
851	ES_FLAG	ES Flag	ES Flag	ES Flag	
852	SCYTHIAN_SCOUT	Scythian Scout	Scythian Scout	Scythian Scout	Hero light cavalry
853		Scythian Scout (Dead)	Scythian Scout (Dead)	Scythian Scout (Dead)	
854	TORCH_CONVERTING	Torch A (Convertable)	Torch A (Convertable)	Torch A (Convertable)	
855	OLD_STONE_HEAD	Old Stone Head	Old Stone Head	Old Stone Head	
856	ROMAN_RUINS	Roman Ruins	Roman Ruins	Roman Ruins	
857	HAY_STACK	Hay Stack	Hay Stack	Hay Stack	
858	BROKEN_CART	Broken Cart	Broken Cart	Broken Cart	
859	FLOWER_BED	Flower Bed	Flower Bed	Flower Bed	
860		Furious the Monkey Boy	Furious the Monkey Boy	Furious the Monkey Boy	agressive like a wolf if given to gaia
861		Furious the Monkey Boy (Dead)	Furious the Monkey Boy (Dead)	Furious the Monkey Boy (Dead)	
862		Stormy Dog	Stormy Dog	Stormy Dog	flying dog from the cheat
863	RUBBLE_1_X_1	Rubble 1 x 1	Rubble 1 x 1	Rubble 1 x 1	
864	RUBBLE_2_X_2	Rubble 2 x 2	Rubble 2 x 2	Rubble 2 x 2	
865	RUBBLE_3_X_3	Rubble 3 x 3	Rubble 3 x 3	Rubble 3 x 3	
866		Genoese Crossbowman	Genoese Crossbowman	CRASH	
867		Genoese Crossbowman (Dead)	Genoese Crossbowman (Dead)	CRASH	
868		Elite Genoese Crossbowman	Elite Genoese Crossbowman	CRASH	
869		Magyar Huszar	Magyar Huszar	CRASH	
870		Magyar Huszar (Dead)	Magyar Huszar (Dead)	CRASH	
871		Elite Magyar Huszar	Elite Magyar Huszar	CRASH	
872		Quimper Cathedral	Quimter Cathederal	CRASH	
873		Elephant Archer	Elephant Archer	CRASH	
874		Elephant Archer (Dead)	Elephant Archer (Dead)	CRASH	
875		Elite Elephant Archer	Elite Elephant Archer	CRASH	
876		Boyar	Boyar	CRASH	
877		Boyar (Dead)	Boyar (Dead)	CRASH	
878		Elite Boyar	Elite Boyar	CRASH	
879		Kamayuk	Kamayuk	CRASH	
880		Kamayuk (Dead)	Kamayuk (Dead)	CRASH	
881		Elite Kamayuk	Elite Kamayuk	CRASH	
882		Condottiero	Condottiero	CRASH	
883		Condottiero (Dead)	Condottiero (Dead)	CRASH	
884	DLC_WILD_CAMEL	Wild Camel	Wild Camel	CRASH	no food, does not convert; constant only defined in DE
885		Siege Tower	Siege Tower	CRASH	6 attack 6 garrison space, does not help units over walls
886		Tarkan	Tarkan	CRASH	
887		Elite Tarkan	Elite Tarkan	CRASH	
888		Llama building	Llama building	CRASH	
889		Disable llama building	Disable llama building	CRASH	
890		Empty llama annex	Empty llama annex	CRASH	
891		Siege Tower (Dead)	Siege Tower (Dead)	CRASH	
892		Heavy Pikeman	Heavy Pikeman	CRASH	
893		Heavy Pikeman (Dead)	Heavy Pikeman (Dead)	CRASH	
894		Eastern Swordsman	Eastern Swordsman	CRASH	
895		Eastern Swordsman (Dead)	Eastern Swordsman (Dead)	CRASH	
896		Waterfall	Waterfall	CRASH	
897		Camel	Camel (Gaia)	CRASH	convertible, no food
898		Camel (Dead)	Camel (Dead)	CRASH	
899		Arch of Constantine	Arch of Constantine	CRASH	
900		Rain	Rain	CRASH	USE 1300+ VERSION INSTEAD
901		Flag F	Flag F	CRASH	USE 1300+ VERSION INSTEAD
902		Smoke	Smoke	CRASH	USE 1300+ VERSION INSTEAD
903		-	CRASH	CRASH	
904		Wooden Bridge A--Top	Wooden Bridge A--Top	CRASH	USE 1300+ VERSION INSTEAD
905		Wooden Bridge A--Middle	Wooden Bridge A--Middle	CRASH	USE 1300+ VERSION INSTEAD
906		Wooden Bridge A--Bottom	Wooden Bridge A--Bottom	CRASH	USE 1300+ VERSION INSTEAD
907		Wooden Bridge B--Top	Wooden Bridge B--Top	CRASH	USE 1300+ VERSION INSTEAD
908		Wooden Bridge B--Middle	Wooden Bridge B--Middle	CRASH	USE 1300+ VERSION INSTEAD
909		Wooden Bridge B--Bottom	Wooden Bridge B--Bottom	CRASH	USE 1300+ VERSION INSTEAD
910		Impaled Corpse	Impaled Corpse	CRASH	USE 1300+ VERSION INSTEAD
911		BGAA	boardwalk (like 904)	CRASH	USE 1300+ VERSION INSTEAD
912		BGAB	boardwalk (like 905)	CRASH	USE 1300+ VERSION INSTEAD
913		BGAC	boardwalk (like 906)	CRASH	USE 1300+ VERSION INSTEAD
914		Quarry	Quarry	CRASH	USE 1300+ VERSION INSTEAD
915		Lumber	Lumber	CRASH	USE 1300+ VERSION INSTEAD
916		Goods	Goods	CRASH	USE 1300+ VERSION INSTEAD
917		Vulture	Vulture	CRASH	USE 1300+ VERSION INSTEAD
918		Rock 2	Rock 2	CRASH	USE 1300+ VERSION INSTEAD
919		Amazon Warrior (Dead)	Amazon Warrior (Dead)	CRASH	USE 1300+ VERSION INSTEAD
920		Amazon Archer (Dead)	Amazon Archer (Dead)	CRASH	USE 1300+ VERSION INSTEAD
921		Imam (Dead)	Imam (Dead)	CRASH	USE 1300+ VERSION INSTEAD
922		Monk with Relic	Monk with relic	CRASH	USE 1300+ VERSION INSTEAD
923		Queen	Queen	CRASH	USE 1300+ VERSION INSTEAD
924		Queen (Dead)	Queen (Dead)	CRASH	USE 1300+ VERSION INSTEAD
925		Sanyogita	Sanyogita	CRASH	USE 1300+ VERSION INSTEAD
926		Prithvi	Prithvi	CRASH	USE 1300+ VERSION INSTEAD
927		Chand Bhai	Chand Bhai	CRASH	USE 1300+ VERSION INSTEAD
928		Chand Bhai (Dead)	Chand Bhai (Dead)	CRASH	USE 1300+ VERSION INSTEAD
929		Saladin	Saladin	CRASH	USE 1300+ VERSION INSTEAD
930		Khosrau	Khosrau	CRASH	USE 1300+ VERSION INSTEAD
931		Jarl	Jarl	CRASH	USE 1300+ VERSION INSTEAD
932		Savar	Savaran	CRASH	USE 1300+ VERSION INSTEAD
933		Barrels	Barrels	CRASH	USE 1300+ VERSION INSTEAD
934		Alfred the Alpaca	Alfred the Alpaca	CRASH	USE 1300+ VERSION INSTEAD
935		Alfred the Alpaca (Dead)	Alfred the Alpaca (Dead)	CRASH	USE 1300+ VERSION INSTEAD
936		Elephant	Elephant	CRASH	USE 1300+ VERSION INSTEAD
937		Elephant (Dead)	Elephant (Dead)	CRASH	USE 1300+ VERSION INSTEAD
938		Dragon Ship	Dragon Ship	CRASH	USE 1300+ VERSION INSTEAD
939		Flame 1	Flame 1	CRASH	USE 1300+ VERSION INSTEAD
940		Flame 2	Flame 2	CRASH	USE 1300+ VERSION INSTEAD
941		Flame 3	Flame 3	CRASH	USE 1300+ VERSION INSTEAD
942		Flame 4	Flame 4	CRASH	USE 1300+ VERSION INSTEAD
943		Osman	Osman	CRASH	USE 1300+ VERSION INSTEAD
944		Relic Cart	Relic Cart	CRASH	USE 1300+ VERSION INSTEAD
945		Shaw (Dead)	Shaw (Dead)	CRASH	USE 1300+ VERSION INSTEAD
